,Acc_ID,New_trsc_Amt,Contract_Date,Gender,Age,Job,Family,Cancellation,Deposit_Code
130,929-888559-89344,10000,2023-03-08,남성,53,기술자,결혼,no,081-000066
9760,918-153591-32397,20000,2023-08-01,여성,41,산업노동자,미혼,no,081-000601
16818,936-063734-34131,10000,2023-12-01,남성,41,산업노동자,이혼,no,A23-000042
1205,986-100322-21053,50000,2023-03-22,남성,21,학생,결혼,yes,A23-000055
13813,766-054517-91757,10000,2023-10-12,여성,29,기술자,미혼,no,A23-000031
14342,071-561001-22640,20000,2023-10-20,여성,50,자영업자,결혼,no,081-000651
13057,793-579158-70686,10000,2023-09-25,남성,55,기술자,미혼,yes,081-000661
20492,575-275080-58592,20000,2024-01-31,여성,40,서비스종사자,결혼,no,081-000066
19465,641-791754-02692,30000,2024-01-15,남성,50,산업노동자,결혼,no,081-000142
12777,113-395588-20841,10000,2023-09-20,여성,50,산업노동자,미혼,no,A23-000081
12378,269-625462-12655,10000,2023-09-13,남성,32,기술자,미혼,no,081-000431
10055,141-054916-19849,10000,2023-08-04,여성,29,서비스종사자,결혼,no,081-000121
16936,901-046569-56325,20000,2023-12-05,여성,52,산업노동자,미혼,no,081-000142
5655,363-433178-58217,20000,2023-05-30,여성,38,산업노동자,결혼,no,081-000083
19909,690-948415-95906,10000,2024-01-22,남성,48,회사원,미혼,no,081-000061
18298,480-037129-56856,20000,2023-12-27,여성,44,주부,미확인,no,A23-000045
13735,322-661932-29552,20000,2023-10-11,남성,33,회사원,미혼,no,081-000411
13974,570-402401-78309,20000,2023-10-16,여성,30,서비스종사자,결혼,no,081-000401
16119,637-675659-22874,60000,2023-11-21,남성,25,기술자,미혼,no,081-000431
24198,752-569763-84710,50000,2024-04-02,여성,33,서비스종사자,미혼,no,081-000073
19941,268-744373-80900,10000,2024-01-23,여성,35,주부,미혼,no,081-000076
7533,137-467277-87691,20000,2023-06-27,남성,63,회사원,미혼,no,081-000581
19961,763-368071-07940,100000,2024-01-23,남성,43,회사원,결혼,no,081-000341
16600,880-778099-08932,20000,2023-11-29,남성,46,회사원,결혼,no,A23-000041
16883,844-690340-82905,40000,2023-12-04,여성,54,주부,미혼,no,081-000501
19007,904-967767-21739,130000,2024-01-08,남성,32,산업노동자,결혼,no,081-000181
15365,763-803838-49075,30000,2023-11-08,여성,42,서비스종사자,미혼,no,081-000045
13998,246-594108-31868,10000,2023-10-16,여성,36,기술자,미혼,yes,A23-000101
1813,476-700973-14527,20000,2023-03-31,여성,37,서비스종사자,미혼,no,081-000421
2840,113-543894-80643,20000,2023-04-14,여성,30,공무원,미혼,no,081-000601
10730,951-071394-91140,20000,2023-08-17,여성,38,기술자,이혼,no,081-000231
15167,457-307942-38747,10000,2023-11-06,여성,28,회사원,결혼,no,081-000281
5668,064-898251-21001,20000,2023-05-30,여성,28,서비스종사자,결혼,yes,081-000044
3102,304-978242-40746,20000,2023-04-19,여성,36,서비스종사자,결혼,no,081-000601
17594,287-344873-14963,10000,2023-12-13,여성,39,공무원,미혼,no,081-000148
23369,011-760553-42940,40000,2024-03-20,여성,48,공무원,결혼,no,A23-000032
10970,175-807842-25141,20000,2023-08-21,여성,53,공무원,미혼,yes,A23-000031
6467,704-827031-35771,10000,2023-06-12,여성,42,기술자,미혼,no,A23-000045
16421,675-708576-03935,10000,2023-11-27,남성,44,산업노동자,결혼,yes,081-000149
4254,762-251531-05348,80000,2023-05-09,여성,37,자영업자,결혼,no,A23-000032
25047,099-442589-82887,10000,2024-04-17,남성,31,회사원,미혼,no,081-000092
18402,660-958494-88858,40000,2023-12-28,여성,46,회사원,결혼,no,081-000075
5672,074-556760-13732,10000,2023-05-30,여성,49,공무원,결혼,no,081-000074
8339,473-230255-98144,10000,2023-07-10,남성,32,회사원,미혼,no,081-000661
16893,596-362348-51829,20000,2023-12-04,여성,80,은퇴,이혼,no,081-000441
16266,198-594785-41469,60000,2023-11-23,남성,57,기술자,이혼,no,081-000066
19184,463-589857-88938,10000,2024-01-10,남성,31,기술자,미혼,no,081-000203
19773,690-592661-75031,10000,2024-01-19,남성,38,회사원,결혼,no,081-000161
19482,507-292365-77957,40000,2024-01-16,남성,43,기술자,결혼,no,081-000305
19558,385-400612-34446,10000,2024-01-16,남성,31,산업노동자,결혼,no,A23-000057
13245,891-685785-33514,50000,2023-09-27,남성,36,산업노동자,미확인,no,081-000041
8332,995-606927-01737,10000,2023-07-10,남성,32,군인,미혼,no,081-000323
1690,734-768797-13691,40000,2023-03-30,여성,41,공무원,결혼,no,081-000611
25231,242-764962-98739,20000,2024-04-19,남성,37,기업가,결혼,no,081-000204
14459,995-417706-55970,20000,2023-10-23,여성,27,서비스종사자,미혼,no,081-000231
386,691-558347-92212,20000,2023-03-10,여성,32,회사원,결혼,no,081-000291
20150,657-032745-97322,80000,2024-01-25,남성,35,회사원,이혼,no,081-000331
5536,718-963249-47176,10000,2023-05-26,남성,34,산업노동자,미혼,no,081-000353
8925,730-641211-70152,10000,2023-07-18,남성,27,산업노동자,미혼,no,081-000071
19085,056-474894-41741,20000,2024-01-09,여성,26,산업노동자,이혼,no,081-000353
24730,792-031638-04572,40000,2024-04-11,여성,59,은퇴,결혼,no,081-000076
23294,852-222011-97081,10000,2024-03-19,남성,30,기업가,결혼,yes,081-000161
9669,907-138775-71977,20000,2023-07-31,남성,42,산업노동자,결혼,no,A23-000011
13796,231-574395-87636,40000,2023-10-12,여성,43,회사원,미혼,no,081-000471
10000,758-375231-28054,30000,2023-08-04,여성,42,산업노동자,이혼,no,081-000146
13131,558-233000-19173,50000,2023-09-25,남성,38,공무원,결혼,no,A23-000056
5705,258-305042-56929,20000,2023-05-31,여성,41,공무원,미혼,no,081-000142
17457,814-557684-89765,30000,2023-12-12,여성,31,회사원,미혼,no,081-000231
2605,614-910584-96693,10000,2023-04-11,남성,79,은퇴,미확인,no,081-000541
4526,525-039179-53972,20000,2023-05-11,남성,31,회사원,이혼,yes,A23-000046
6049,143-928178-40040,20000,2023-06-05,여성,44,공무원,결혼,no,A23-000057
12476,323-774075-26674,60000,2023-09-14,여성,46,공무원,이혼,no,081-000148
3932,907-592747-20817,20000,2023-05-01,남성,51,회사원,이혼,no,A23-000071
11165,015-391884-53923,20000,2023-08-24,여성,52,자영업자,결혼,no,081-000651
6108,024-491116-52687,30000,2023-06-07,남성,38,산업노동자,결혼,no,081-000012
24927,595-724979-19301,10000,2024-04-15,남성,59,은퇴,미혼,no,081-000601
13382,328-983313-52405,10000,2023-10-04,여성,46,공무원,결혼,yes,081-000143
14711,385-029164-95887,20000,2023-10-26,남성,47,은퇴,결혼,no,081-000091
16717,064-223515-50534,20000,2023-11-30,남성,28,회사원,미확인,no,081-000281
25217,470-132641-45683,100000,2024-04-19,여성,57,자영업자,결혼,no,081-000491
2520,876-480800-84874,20000,2023-04-11,여성,32,공무원,미혼,no,081-000391
24538,397-001095-21333,40000,2024-04-08,남성,49,회사원,결혼,no,081-000048
3873,049-045120-64715,30000,2023-05-01,남성,41,산업노동자,미혼,no,081-000601
8957,981-720836-25687,20000,2023-07-19,여성,29,서비스종사자,결혼,no,081-000142
12205,084-612192-37955,10000,2023-09-11,여성,29,회사원,이혼,no,081-000342
7790,574-976475-97708,10000,2023-06-30,여성,25,회사원,결혼,yes,081-000391
6897,548-261799-31159,10000,2023-06-19,여성,19,서비스종사자,이혼,no,081-000191
15097,014-921659-17862,40000,2023-11-03,남성,39,기술자,이혼,no,081-000072
13247,573-824161-57051,30000,2023-09-27,남성,47,기술자,결혼,yes,081-000044
7436,485-412135-31538,50000,2023-06-26,남성,31,회사원,결혼,no,A23-000054
14812,684-802031-29333,50000,2023-10-30,남성,36,공무원,결혼,no,081-000101
23927,318-777031-00408,20000,2024-03-28,여성,31,서비스종사자,결혼,no,081-000081
7815,928-749111-62585,20000,2023-06-30,남성,28,회사원,이혼,yes,A23-000062
23539,611-983010-73098,30000,2024-03-22,남성,36,기술자,미확인,yes,A23-000059
5576,628-360281-22928,20000,2023-05-26,남성,35,회사원,결혼,no,081-000149
5910,010-225657-43057,20000,2023-06-02,남성,29,산업노동자,미혼,no,A23-0000510
22639,972-163488-42058,30000,2024-03-08,남성,56,산업노동자,결혼,no,081-000561
7250,691-473052-95089,60000,2023-06-23,남성,59,은퇴,미혼,yes,081-000068
24716,260-303246-66547,10000,2024-04-09,여성,60,회사원,미혼,yes,081-000142
15074,227-434476-22420,10000,2023-11-03,남성,40,기술자,이혼,no,081-000411
17519,694-733366-72707,10000,2023-12-13,여성,27,학생,결혼,no,081-000043
22774,473-681408-96953,10000,2024-03-11,여성,38,산업노동자,이혼,no,081-000481
9515,880-021415-08271,30000,2023-07-27,여성,40,공무원,결혼,no,A23-0000512
12727,386-371669-38713,10000,2023-09-19,남성,41,기업가,미혼,yes,A23-0000512
7052,680-481018-80762,20000,2023-06-21,남성,41,산업노동자,미혼,no,081-000151
11535,866-307904-08795,20000,2023-08-31,남성,85,은퇴,이혼,no,081-000671
24038,491-687486-37963,20000,2024-03-29,여성,28,산업노동자,미혼,yes,081-000561
10505,968-077263-88769,10000,2023-08-14,여성,31,산업노동자,결혼,no,081-000341
13190,650-571144-91895,50000,2023-09-26,남성,36,기술자,미혼,no,081-000601
3723,470-288155-56703,20000,2023-04-27,여성,41,산업노동자,결혼,no,081-000231
2501,988-370553-44742,20000,2023-04-10,여성,29,회사원,결혼,no,081-000471
5124,486-495168-05441,20000,2023-05-19,남성,32,기술자,결혼,no,081-000332
2697,016-252359-11084,20000,2023-04-12,남성,77,자영업자,결혼,no,081-000441
7588,591-580544-73522,10000,2023-06-28,여성,36,주부,결혼,no,081-000073
9290,797-044655-58777,20000,2023-07-25,여성,54,은퇴,결혼,no,081-000046
13139,667-453989-40396,20000,2023-09-25,남성,37,주부,결혼,no,081-000077
21683,709-553010-39370,10000,2024-02-21,여성,33,회사원,이혼,no,081-000661
24131,873-365114-13534,20000,2024-04-01,남성,51,기술자,이혼,yes,081-000601
14124,503-448540-43357,10000,2023-10-17,남성,39,회사원,결혼,no,081-000332
20615,137-832226-52345,20000,2024-02-01,남성,33,회사원,결혼,no,081-000091
9592,284-264163-90097,20000,2023-07-28,여성,40,주부,미혼,no,081-000661
12513,830-609970-32863,60000,2023-09-15,여성,30,서비스종사자,미혼,no,A23-000051
26176,156-670975-87588,10000,2024-05-03,남성,29,미취업자,미혼,no,081-000143
25630,445-486926-92212,10000,2024-04-26,남성,35,기업가,미혼,no,081-000068
8118,726-853457-92524,10000,2023-07-06,여성,50,서비스종사자,미혼,no,081-000571
15399,978-327344-59811,10000,2023-11-08,여성,98,은퇴,결혼,yes,081-000081
6987,167-842443-30061,40000,2023-06-20,남성,31,회사원,결혼,no,A23-0000510
21929,917-803419-82066,20000,2024-02-26,여성,50,서비스종사자,결혼,no,A23-000061
1893,056-715504-29907,30000,2023-04-03,남성,26,기술자,미혼,no,081-000331
23973,535-158263-19025,20000,2024-03-29,남성,31,회사원,미혼,no,081-000351
13158,775-143862-05696,10000,2023-09-26,여성,54,공무원,미혼,no,A23-000051
7132,443-757935-29651,20000,2023-06-21,여성,39,주부,미혼,no,081-000013
10859,101-936669-12037,40000,2023-08-18,남성,45,서비스종사자,미혼,no,081-000521
23911,266-310409-52702,20000,2024-03-28,여성,33,회사원,결혼,no,081-000146
8911,624-861026-74145,20000,2023-07-18,여성,21,산업노동자,이혼,no,081-000561
13467,807-845026-54599,10000,2023-10-05,남성,37,회사원,결혼,no,081-000191
733,208-774338-05358,10000,2023-03-16,여성,56,기술자,결혼,no,081-000082
16609,774-855962-80768,30000,2023-11-29,남성,36,산업노동자,미혼,no,A23-000059
16120,520-258732-04372,20000,2023-11-21,남성,33,자영업자,결혼,no,081-000491
1166,386-068779-58091,30000,2023-03-22,남성,41,기술자,결혼,no,A23-000032
5059,542-165560-52360,50000,2023-05-19,여성,30,공무원,결혼,no,081-000181
18588,953-774846-90132,20000,2023-12-29,남성,29,회사원,미혼,yes,081-000353
17093,075-315249-93483,60000,2023-12-07,여성,58,회사원,결혼,no,081-000071
6703,712-844365-89150,30000,2023-06-15,여성,35,공무원,이혼,no,081-000305
25118,670-902195-30718,10000,2024-04-17,남성,29,기술자,미혼,no,A23-000051
15168,153-303254-04939,10000,2023-11-06,남성,23,군인,이혼,no,081-000323
6316,304-202819-49771,20000,2023-06-09,남성,51,회사원,결혼,yes,081-000092
16573,708-093596-65526,20000,2023-11-28,남성,37,공무원,결혼,no,081-000411
13552,744-643225-86911,10000,2023-10-06,남성,37,산업노동자,결혼,no,081-000182
6638,451-137340-64541,20000,2023-06-14,남성,49,기업가,이혼,no,A23-000042
8504,132-878027-90240,10000,2023-07-12,여성,30,회사원,미혼,no,081-000342
11455,783-965841-04634,80000,2023-08-29,여성,69,은퇴,미혼,no,081-000303
22185,831-215691-36881,50000,2024-02-28,남성,34,기업가,미혼,no,081-000201
15115,450-606050-94242,20000,2023-11-03,남성,54,산업노동자,이혼,no,A23-000052
1387,205-487808-93750,80000,2023-03-24,남성,37,기술자,결혼,no,081-000068
17670,437-034763-04348,10000,2023-12-14,여성,36,회사원,결혼,no,A23-000051
21675,669-806129-29158,40000,2024-02-21,남성,55,기술자,결혼,no,081-000064
19248,361-567477-69291,10000,2024-01-11,여성,34,산업노동자,미확인,no,081-000065
22338,686-408763-42581,10000,2024-03-04,남성,45,기업가,미혼,no,081-000661
6675,045-141350-12363,10000,2023-06-15,여성,57,산업노동자,이혼,no,A23-000011
8773,630-595162-36414,10000,2023-07-17,여성,38,산업노동자,결혼,no,A23-000053
176,788-782549-59579,30000,2023-03-08,여성,31,회사원,결혼,no,081-000068
623,893-278142-56469,20000,2023-03-14,여성,30,회사원,결혼,no,081-000204
9894,421-813413-45376,40000,2023-08-02,여성,73,은퇴,결혼,no,A23-000044
17454,768-568754-07207,20000,2023-12-12,여성,49,서비스종사자,이혼,no,081-000661
20309,468-375234-13693,20000,2024-01-26,여성,29,서비스종사자,미혼,no,081-000351
14597,209-512467-24653,20000,2023-10-25,여성,44,산업노동자,결혼,no,A23-000071
22483,243-021600-08903,190000,2024-03-06,여성,43,서비스종사자,결혼,no,A23-000081
4413,353-253400-23084,20000,2023-05-10,여성,54,회사원,이혼,no,081-000045
24554,469-759500-14408,20000,2024-04-08,여성,52,산업노동자,이혼,no,081-0001410
17679,593-469152-84365,20000,2023-12-14,남성,47,산업노동자,이혼,no,081-000353
9385,062-413719-55083,30000,2023-07-25,남성,64,은퇴,결혼,no,A23-000021
23959,946-241461-65816,20000,2024-03-29,남성,63,은퇴,미혼,no,081-000541
22458,129-969090-31378,80000,2024-03-06,남성,28,회사원,결혼,no,081-000067
12426,014-190549-77622,40000,2023-09-14,여성,31,서비스종사자,결혼,yes,081-000149
10758,980-881553-15905,10000,2023-08-17,여성,57,공무원,미혼,yes,A23-000058
25364,271-244704-53516,40000,2024-04-22,여성,21,서비스종사자,미혼,no,081-000431
11274,531-352500-28411,20000,2023-08-25,여성,49,회사원,미혼,no,081-000591
11192,496-430806-39182,150000,2023-08-24,여성,50,서비스종사자,결혼,no,081-000353
15021,299-664617-02821,50000,2023-11-02,남성,42,기술자,결혼,no,A23-000057
799,658-791129-50945,10000,2023-03-16,여성,29,회사원,결혼,no,081-000231
14700,346-653655-21151,10000,2023-10-26,여성,47,자영업자,이혼,no,081-000601
23045,487-666868-18317,30000,2024-03-15,남성,54,기술자,결혼,no,081-000141
14140,494-607676-82954,10000,2023-10-18,남성,49,산업노동자,미혼,no,081-000076
3635,095-889291-14324,20000,2023-04-26,여성,32,자영업자,이혼,yes,081-000062
23782,737-882161-67520,30000,2024-03-26,여성,38,미취업자,결혼,no,A23-000059
3010,749-706808-79505,40000,2023-04-18,여성,30,산업노동자,결혼,no,081-000341
15231,383-414122-00131,10000,2023-11-06,남성,35,회사원,미확인,no,081-000161
15217,503-396005-09891,10000,2023-11-06,여성,34,회사원,미혼,no,A23-000059
15340,806-153794-28302,10000,2023-11-08,남성,49,회사원,이혼,no,081-000341
16099,729-466375-44204,50000,2023-11-21,여성,31,공무원,결혼,no,081-000501
9519,666-780209-53773,10000,2023-07-27,남성,46,산업노동자,결혼,no,081-000551
3094,017-714688-84522,30000,2023-04-19,남성,47,산업노동자,결혼,no,081-000077
7011,002-421442-53017,10000,2023-06-20,여성,28,미취업자,미혼,no,A23-000091
24402,269-886137-33937,10000,2024-04-04,여성,47,회사원,미혼,no,081-000661
7278,066-725380-79510,30000,2023-06-23,여성,36,회사원,결혼,no,081-000391
18681,443-676826-33127,10000,2024-01-03,여성,77,은퇴,결혼,no,081-000511
19375,171-925577-49804,40000,2024-01-15,여성,22,군인,이혼,no,081-000323
20947,337-578436-42554,30000,2024-02-07,여성,40,자영업자,미혼,yes,A23-000101
2264,481-920821-33919,70000,2023-04-06,남성,85,은퇴,미혼,no,081-000501
22646,601-661456-39839,10000,2024-03-08,여성,47,산업노동자,미혼,no,A23-0000512
17517,416-636913-79619,10000,2023-12-13,남성,29,기술자,미혼,no,081-000146
5955,411-916803-69341,20000,2023-06-02,여성,35,기업가,이혼,no,081-000481
16336,325-463511-68560,30000,2023-11-24,여성,37,회사원,미혼,no,A23-000021
9341,644-862417-84346,20000,2023-07-25,남성,32,기술자,이혼,no,081-000153
7601,906-767382-45144,30000,2023-06-28,여성,32,서비스종사자,결혼,yes,081-000202
1360,764-614080-17723,20000,2023-03-24,여성,25,서비스종사자,미혼,no,081-000048
3455,978-099351-71691,10000,2023-04-24,여성,33,회사원,이혼,no,081-000231
23899,290-308461-40352,30000,2024-03-28,남성,19,산업노동자,결혼,no,081-000381
15665,867-327769-32327,70000,2023-11-14,여성,29,회사원,미혼,no,081-000048
22716,768-248526-25359,20000,2024-03-11,여성,41,서비스종사자,결혼,no,081-000281
3900,880-671162-35241,20000,2023-05-01,남성,75,은퇴,미혼,no,081-000671
7032,494-418575-79328,40000,2023-06-20,여성,62,은퇴,결혼,yes,081-000162
17661,716-596422-34972,20000,2023-12-14,여성,45,공무원,이혼,no,081-000202
25935,716-663655-11683,120000,2024-05-01,남성,41,기술자,결혼,no,081-000149
18981,388-391511-75631,20000,2024-01-05,남성,30,산업노동자,결혼,no,081-000571
19445,323-164028-45611,10000,2024-01-15,남성,11,학생,미혼,no,081-000171
25466,047-746479-87762,30000,2024-04-23,여성,39,회사원,미혼,yes,081-000012
22870,040-158862-57053,10000,2024-03-12,남성,27,회사원,결혼,no,081-000082
6794,886-007534-42656,60000,2023-06-16,남성,42,미취업자,이혼,no,081-000063
22537,081-856579-92921,10000,2024-03-07,여성,38,산업노동자,미혼,no,081-000611
15279,186-939532-14449,20000,2023-11-07,남성,46,산업노동자,미혼,no,081-000061
11034,115-028350-83740,10000,2023-08-22,여성,21,회사원,결혼,no,081-000074
20630,462-748101-02002,20000,2024-02-01,남성,40,회사원,미혼,no,A23-000011
7435,352-417832-50911,30000,2023-06-26,남성,29,기업가,결혼,no,A23-000053
16420,772-018841-20130,10000,2023-11-27,남성,35,자영업자,이혼,no,081-000581
18901,663-320891-85370,80000,2024-01-05,여성,34,공무원,미혼,yes,A23-000046
