,클래스ID,강의시작일,강의종료일,강사명,담당 매니저,강사 구분,언어(수업),총지급 강사료,클래스 수업료,class 종류,장소
14,RXQkoJz3,2022-12-24,2023-07-23,유윤수,서민지,F2/F5/F6,영어,"300,000","588,000",1:1 (임원),
15,6WVEaK4B,2023-02-21,2023-05-23,유윤수,강태윤,F2/F5/F6,영어,"375,000","855,000",1:1 (임원),"서울 강남구 영동대로 416 (대치동, 케이티앤지 타워)"
16,35PRgfeX,2022-06-27,2023-04-12,최원아,서민지,F2/F5/F6,영어,"100,000","196,000",1:1 (임원),
17,oZ9VDhpv,2023-04-03,2023-04-03,문우윤,문지후,F2/F5/F6,영어,"275,000","550,000",interview,"서울 강남구 테헤란로 410 (대치동, 금강타워)"
18,QEJdiELH,2023-02-04,2023-05-03,한수민,조유진,F2/F5/F6,영어,"600,000","996,000",Group,"전남 나주시 전력로 55 (빛가람동, 한국전력공사)"
19,SKSVSMOU,2023-03-25,2023-07-12,한수민,임하린,F2/F5/F6,영어,"2,500,000","4,204,031",1:1 (임원),"전남 나주시 전력로 55 (빛가람동, 한국전력공사)"
20,c4oUdNOs,2023-03-25,2023-07-12,한수민,임하린,F2/F5/F6,영어,0,0,1:1 (임원),"전남 나주시 전력로 55 (빛가람동, 한국전력공사)"
21,EoBB0MO9,2022-09-24,2023-07-19,최예민,황수현,Korean,영어,"280,000","680,000",1:1 (임원),서울 영등포구 양평동2가 12
22,Fe5m6I2n,2023-03-24,2023-04-22,임호성,유예준,F2/F5/F6,영어,0,"3,522,727",기타,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)"
23,eJisUF4j,2022-09-05,2023-07-23,박우채,배지호,F4,영어,"135,000","228,000",1:1 (임원),마곡센터
24,BypGknAt,2022-01-10,2023-07-23,박준하,강민성,Korean,영어,"160,000","300,000",1:1 (임원),
25,FlJELFbV,2022-08-09,2023-07-23,박준하,김서진,Korean,영어,"160,000","300,000",1:1 (임원),"경기 수원시 영통구 광교로 109 (이의동, 한국나노기술원)"
26,TZeeJcWd,2023-01-01,2023-07-23,박준하,이도윤,Korean,영어,"120,000","330,000",Co-Active Learning,스타플라자 12층 부사장실 / Mars 회의실
27,l0f3seVO,2023-03-13,2023-07-12,윤채서,박하은,Korean,영어,"540,000","1,215,000",Language lab,"서울 중구 장충단로 275 (을지로6가, 두산타워빌딩)"
28,JEJC84Nf,2022-10-02,2023-04-22,윤채서,오현서,Korean,영어,"280,000","490,000",1:1 (임원),"서울 중구 세종대로7길 25 (순화동, 삼성생명에스원빌딩)"
29,fVnnXag6,2023-03-01,2023-07-23,박채민,배지호,Korean,영어,0,0,1:1 (임원),"서울 강남구 강남대로 488 (논현동, 대남빌딩) 8층"
30,2bsBzQSf,2023-04-11,2023-07-23,조아민,최현우,F4,영어,"151,500","357,999",Language lab,"경남 창원시 마산회원구 내서읍 중리공단로 187 (중리, 동아제약) 경상남도 창원시 마산회원구 내서읍 중리공단로 187, 동아제약 마산지점"
31,Gbn7HBSC,2023-02-04,2023-04-12,송원후,정다인,Korean,영어,"210,000","462,000",Group,
32,pJk1j48m,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
33,No8QIvJc,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
34,J1stjQOb,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
35,cLKHS13p,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
36,eXfwmMmB,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
37,QjNN5RNP,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
38,OIKgwdZI,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
39,3RXx7kAc,2023-01-28,2023-06-29,장예후,유예준,Korean,영어,0,0,Group,
40,CSsI7Raz,2023-04-03,2023-07-23,서원아,장은서,F2/F5/F6,영어,"190,000","375,000",1:1 (임원),R4 12층 회의실1
41,7xeGXE5D,2023-03-05,2023-06-20,송예도,조유진,F2/F5/F6,영어,"550,000","1,045,000",Group,"전남 나주시 빛가람로 661 (빛가람동, 한전KDN(주))"
42,JBW2Izxk,2022-09-25,2023-06-27,이우도,유예준,F2/F5/F6,영어,"480,000","1,350,000",Group,"경기 시흥시 시청로 20 (장현동, 시흥시청)"
43,gH9ynVQW,2022-05-22,2023-07-23,이우도,유예준,F2/F5/F6,영어,"300,000","600,000",Group,
44,nxJqNQac,2023-04-13,2023-06-01,장민우,황수현,F2/F5/F6,영어,"310,000","732,480",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
45,pwoAalae,2022-10-31,2023-07-22,장민우,한예원,F2/F5/F6,영어,"225,000","495,000",Co-Active Learning,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
46,wjPl4cna,2022-10-31,2023-07-22,장민우,한예원,F2/F5/F6,영어,"175,000","350,000",Language lab,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
47,arTMkLEA,2022-10-01,2023-05-23,장민우,장은서,F2/F5/F6,영어,"250,000","395,000",Co-Active Learning,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
48,jfoRBA8M,2023-04-15,2023-06-10,장민우,박지후,F2/F5/F6,영어,"150,000","180,000",Group,
49,73tR9hei,2023-02-20,2023-05-23,장민우,윤하준,F2/F5/F6,영어,"250,000","450,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
50,lapgbFys,2023-03-25,2023-06-22,장민우,윤하준,F2/F5/F6,영어,"200,000","360,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
51,kTviSEtt,2023-01-10,2023-07-23,장민우,박하은,F2/F5/F6,영어,"100,000","160,000",1:1 (임원),"경기 안양시 동안구 엘에스로 127 (호계동, LS타워)"
52,PsUqehKD,2023-03-25,2023-07-23,장민우,송민재,F2/F5/F6,영어,"350,000","665,000",1:1 (임원),
53,l4Gta73c,2022-12-25,2023-07-23,장민우,오현서,F2/F5/F6,영어,"500,000","1,155,000",1:1 (임원),경기 성남시 분당구 판교역로 221 (삼평동)
54,VGoEER7P,2022-12-26,2023-06-02,박우채,오준희,F2/F5/F6,영어,"204,000","388,000",1:1 (임원),경기 화성시 삼성1로 329 (반월동)
55,BtNBam4Q,2023-02-21,2023-07-23,박우채,장은서,F2/F5/F6,영어,"306,000","450,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
56,BsZPQk0A,2023-02-21,2023-07-23,박우채,장은서,F2/F5/F6,영어,"153,000","225,000",1:1 (임원),
57,mlHmtlbA,2023-02-21,2023-07-23,박우채,장은서,F2/F5/F6,영어,"51,000","75,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자) 삼성전자 수원사업장"
58,A49Wec27,2023-03-09,2023-07-23,박우채,정하윤,F2/F5/F6,영어,"51,000","75,000",1:1 (임원),삼성전자 수원사업장
59,7yiJyC72,2023-02-21,2023-05-23,박우채,장은서,F2/F5/F6,영어,"306,000","450,000",1:1 (임원),
60,IQymlBhw,2023-02-21,2023-05-23,박우채,장은서,F2/F5/F6,영어,"255,000","375,000",1:1 (임원),
61,Fd9wakOc,2023-03-24,2023-06-13,박우채,윤하준,F2/F5/F6,영어,"102,000","180,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
62,Vk7fbp9E,2023-03-24,2023-05-23,박우채,윤하준,F2/F5/F6,영어,"102,000","180,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
63,uI49qzCZ,2023-03-24,2023-05-20,박우채,윤하준,F2/F5/F6,영어,"102,000","180,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
64,dGI3iyvx,2023-02-21,2023-07-23,박우채,황수현,F2/F5/F6,영어,"357,000","630,000",1:1 (임원),
65,iLQ8y9JK,2023-02-21,2023-07-23,박우채,이도윤,F2/F5/F6,영어,"102,000","220,000",Co-Active Learning,"경기 화성시 메타폴리스로 53 (반송동, 스타프라자)"
66,rtK5UaO0,2023-02-21,2023-07-23,박우채,이도윤,F2/F5/F6,영어,"51,000","110,000",Co-Active Learning,스타플라자 12층 Mars 회의실
67,CvSHK1TL,2023-04-16,2023-07-11,서현윤,서예린,Korean,영어,"57,000","125,000",Group,
68,zzWwGwJM,2023-04-16,2023-07-11,서현윤,서예린,Korean,영어,"47,000","125,000",Group,
69,TnEWNHwk,2023-04-16,2023-07-11,서현윤,서예린,Korean,영어,"57,000","125,000",Group,
70,o7piUaKW,2023-04-16,2023-07-11,서현윤,서예린,Korean,영어,"67,000","125,000",Group,
71,ilc7Xkf7,2023-04-16,2023-07-11,서현윤,서예린,Korean,영어,"57,000","125,000",Group,
72,v7JliMbq,2023-04-16,2023-07-11,서현윤,서예린,Korean,영어,"57,000","125,000",Group,
73,U3E88KRi,2022-11-12,2023-07-22,유채하,강시우,F2/F5/F6,영어,"200,000","380,000",1:1 (임원),"서울 중구 세종대로9길 53 (서소문동, 대한통운빌딩)"
74,LQWlctgs,2023-02-21,2023-07-23,유채하,황수현,F2/F5/F6,영어,"150,000","294,000",Language lab,서울 동대문구 천호대로 64 (용두동)
75,Z0xRjdSD,2022-07-03,2023-07-03,유채하,서민지,F2/F5/F6,영어,"150,000","450,000",Co-Active Learning,"서울 강남구 학동로 343 (논현동, 포바강남타워)"
76,QPQvadFF,2022-09-05,2023-04-15,유채하,문다온,F2/F5/F6,영어,"100,000","200,000",1:1 (임원),"서울 강남구 테헤란로 301 (역삼동, 삼정빌딩)"
77,CHKeRaeP,2023-04-09,2023-09-20,오현준,황수현,F2/F5/F6,영어,"128,000","300,000",Co-Active Learning,서울 영등포구 여의도동 60
78,VnSvaNRq,2020-10-10,2023-07-23,강현성,이도윤,F2/F5/F6,영어,"600,000","1,320,000",1:1 (임원),"경기도 화성시 반송동 92-7 스타폴리스 6,7층"
79,IDpaeaQi,2023-01-21,2023-07-23,강현성,서민지,F2/F5/F6,영어,"350,000","686,000",Language lab,"경기 용인시 기흥구 금화로105번길 21 (상갈동, 동아제약)"
80,kCmNOX1m,2022-11-22,2023-07-23,강현성,서예린,F2/F5/F6,영어,"350,000","665,000",Co-Active Learning,"경기 용인시 기흥구 공세로 150-20 (공세동, 삼성에스디아이주식회사)"
81,Xmw77Zlc,2023-04-15,2023-06-24,황준수,윤지민,F2/F5/F6,영어,"225,000","564,942",Group,"세종특별자치시 가름로 180 (어진동, 세종파이낸스센터3)"
82,uDCi59HA,2023-04-15,2023-06-24,황준수,윤지민,F2/F5/F6,영어,"200,000","502,172",Group,"세종특별자치시 다솜2로 94 (어진동, 정부세종청사)"
83,pyljXIXy,2023-04-08,2023-07-04,김채채,서민지,F2/F5/F6,영어,"375,000","750,000",Language lab,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
84,7egJppS4,2023-04-08,2023-07-05,김채채,서민지,F2/F5/F6,영어,"250,000","500,000",Language lab,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
85,dgre4Gxz,2023-04-08,2023-07-05,김채채,서민지,F2/F5/F6,영어,"250,000","500,000",Language lab,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
86,BRsJ3u3u,2023-04-08,2023-07-05,김채채,서민지,F2/F5/F6,영어,"250,000","500,000",Language lab,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
87,CPZ3eKqp,2023-02-25,2023-07-23,김채채,장은서,F2/F5/F6,영어,"240,000","304,000",Co-Active Learning,"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
88,kvHlv4zZ,2023-02-04,2023-04-29,김채채,문지후,F2/F5/F6,영어,"715,000","1,079,000",Group,"경기 화성시 마도면 마도북로 403 (석교리, 한국전력공사 화성지점)"
89,HmakYZCI,2022-09-27,2023-07-06,정서민,김서진,F2/F5/F6,영어,"150,000","255,000",1:1 (임원),"경기 이천시 부발읍 경충대로 2091 (아미리, 에스케이하이닉스)"
90,h4MV8GSa,2022-09-06,2023-07-23,정서민,김서진,F2/F5/F6,영어,"125,000","187,500",1:1 (임원),"경기 이천시 부발읍 경충대로 2091 (아미리, 에스케이하이닉스)"
91,EDauFzz0,2023-03-25,2023-06-05,정서민,조태현,F2/F5/F6,영어,"765,000","1,575,000",Group,"충북 증평군 증평읍 미암로 82-41 (미암리, SK에너지(주))"
92,FOkam8IE,2023-03-26,2023-07-04,김채준,임시현,Korean,영어,"770,000","990,000",Group,"경북 포항시 북구 용흥로 90 (용흥동, 용흥중학교)"
93,VKl5uMCm,2023-03-26,2023-04-18,조윤우,윤하준,Korean,영어,"259,000","560,000",Language lab,"서울 종로구 새문안로3길 30 (내수동, 대우빌딩)"
94,LpIu2aoP,2022-08-14,2023-07-23,조윤우,강시우,Korean,영어,"148,000","332,000",1:1 (임원),"서울 송파구 올림픽로 269 (신천동, 롯데캐슬골드) 3층"
95,nikpfQqH,2022-09-26,2023-07-23,조윤우,황준영,Korean,영어,"296,000","680,000",1:1 (임원),"서울 강남구 도산대로 449 (청담동, SI CHEONGDAM)"
96,1XctxVXa,2023-02-25,2023-04-03,조윤우,서민지,Korean,영어,"500,000","1,200,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
97,aPRKNkvT,2023-04-08,2023-04-12,조윤우,서민지,Korean,영어,"1,250,000","4,000,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
98,8cjsHSXD,2022-11-22,2023-05-31,조윤우,서민지,Korean,영어,"259,000","560,000",Language lab,"서울 강남구 테헤란로108길 22 (대치동, 서경빌딩)"
99,G5aD9bgW,2022-12-29,2023-07-20,조윤우,박지후,Korean,영어,"111,000","255,000",1:1 (임원),"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
100,ft73kQCX,2023-03-19,2023-06-13,조윤우,유하늘,Korean,영어,"185,000","400,000",Group,"서울 강남구 테헤란로 510 (대치동, 루첸타워)"
101,3k07bngi,2023-03-12,2023-06-07,유성준,배도희,F4*,영어,"245,000","553,000",Language lab,"서울 용산구 한강대로 32 (한강로3가, 엘지유플러스)"
102,PHlVqOOi,2023-03-26,2023-07-09,김하도,강주원,Korean,영어,"200,000","588,000",Group,"서울 구로구 가마산로 245 (구로동, 구로구청)"
103,IF40ytxt,2023-01-28,2023-04-17,정성우,김태민,F4,기타,"540,000","1,440,000",Group,"인천 연수구 인천타워대로 241 (송도동, 부영송도타워)"
104,vZOOPYpF,2023-01-29,2023-04-18,오민서,김태민,Korean,스페인어,"367,500","1,260,000",Group,"인천 연수구 인천타워대로 241 (송도동, 부영송도타워)"
105,hceDeiez,2023-02-04,2023-04-29,오민서,문지후,Korean,스페인어,"420,000","1,128,000",Group,"인천 부평구 주부토로 246 (갈산동, 한국전력인천지역본부)"
106,R4lCFG6k,2023-03-27,2023-04-22,문민원,이시윤,Korean,일본어,"238,000","486,500",Group,정자역
107,o4RWGhDc,2023-03-26,2023-04-22,문민원,이시윤,Korean,일본어,"126,000","278,000",Group,"경기 성남시 분당구 황새울로360번길 42 (서현동, AK플라자)"
108,AgJwOkFr,2023-04-08,2023-04-19,최지하,서민지,F2/F5/F6,영어,0,"7,040,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
109,Rb2MG0jw,2023-04-22,2023-04-22,최지하,문다온,F2/F5/F6,영어,0,"600,000",특강,"서울 강남구 테헤란로 301 (역삼동, 삼정빌딩)"
110,yXA6wD0E,2023-02-12,2023-05-08,오후성,조태현,F2/F5/F6,영어,"720,000","996,000",Group,충북 음성군 음성읍 시장로80번길 23 (읍내리) / 2층 경영상황실
111,wy18kOcg,2021-11-14,2023-04-22,김채민,박수호,Korean,영어,"388,500","892,500",1:1 (임원),
112,ptvgCNTs,2023-02-25,2023-05-13,김채민,황수현,Korean,영어,"74,000","180,000",Language lab,"경기 안양시 동안구 벌말로 148 (관양동, (주)세방전지)"
113,aUB2Ob6w,2023-01-21,2023-04-22,김채민,김민준,Korean,영어,"259,000","525,000",1:1 (임원),
114,llcHus9t,2023-01-09,2023-04-12,김채민,황준영,Korean,영어,"185,000","500,000",Co-Active Learning,"경기 의왕시 맑은내길 67 (오전동, (주)에이엘티지식산업센터)"
115,llcHus9t,2023-04-15,2023-07-08,김채민,황준영,Korean,영어,"74,000","200,000",Co-Active Learning,"경기 의왕시 맑은내길 67 (오전동, (주)에이엘티지식산업센터)"
116,0iHBlU2I,2023-03-19,2023-06-13,김채민,유하늘,Korean,영어,"259,000","560,000",Group,"경기 군포시 고산로 102 (당정동, 케피코(주))"
117,clFYOLXw,2023-04-09,2023-07-11,오윤우,최현우,,영어,"80,000","158,000",Group,경남 창원시 성산구 내동 456-3
118,egm2uphw,2023-03-18,2023-06-12,이은원,유하늘,Korean,영어,"360,000","691,000",Language lab,경기 파주시 조리읍 봉일천리 73-6
119,Ev00pYuu,2023-04-08,2023-06-27,김도서,최은우,Korean,영어,"405,000","720,000",Group,"울산 울주군 삼남면 가천금사길 45 (방기리, 삼성SDI㈜)"
120,PLkExShy,2023-01-21,2023-07-23,윤원성,황수현,F4,영어,"204,000","492,000",Language lab,서울 동대문구 천호대로 64 (용두동)
121,s3t8MRZN,2023-03-11,2023-05-15,윤원성,황수현,F4,영어,"272,000","720,000",Language lab,"서울 강남구 선릉로 433 (역삼동, 세방빌딩) 5층"
122,WaepxWiP,2023-02-25,2023-07-23,송민채,박지후,F2/F5/F6,영어,"202,500","450,000",1:1 (임원),더부 본사
123,fq89luY0,2022-10-26,2023-04-12,송민채,김민준,F2/F5/F6,영어,"90,000","220,000",1:1 (임원),"서울 종로구 종로 33 (청진동, 그랑서울)"
124,EhVvBcJc,2023-02-04,2023-05-07,조아채,최현우,Korean,스페인어,"440,000","1,034,000",Group,대구 동구 효목동 626
125,bXQOYIDP,2023-02-05,2023-07-23,임서예,오현서,F2/F5/F6,영어,"202,500","495,000",1:1 (임원),"경기 성남시 분당구 판교로 323 (삼평동, 투썬벤처포럼빌딩)"
126,LfgGVwwc,2023-02-04,2023-05-08,박호지,문지후,E2,영어,"550,000","913,000",Group,"서울 노원구 노원로 130 (공릉동, 한국전력중앙교육원)"
127,YliPD0PZ,2023-03-06,2023-07-06,한예우,김서진,Korean,중국어,"225,000","390,000",1:1 (임원),"경기 이천시 부발읍 경충대로 2091 (아미리, 에스케이하이닉스)"
128,YeleS9OI,2023-01-22,2023-04-23,오하현,정유나,Korean,영어,"315,000","634,000",Language lab,"충남 천안시 서북구 백석공단1로 200-23 (차암동, 동아제약)"
129,IQd49PjO,2022-12-22,2023-05-23,최우서,박지후,Korean,영어,"105,000","216,000",1:1 (임원),경기 하남시 위례대로4길 29 (학암동)
130,iJkhRrDS,2022-10-24,2023-07-23,최우서,강시우,Korean,영어,"350,000","700,000",1:1 (임원),"경기 성남시 분당구 대왕판교로645번길 16 (삼평동, NHN)"
131,B0ApTZcN,2022-12-31,2023-03-29,최아채,장태양,Korean,영어,"300,000","500,000",Group,전남 여수시 화치동 70-1
132,YSTn0S0r,2023-04-08,2023-07-12,최아채,장태양,Korean,영어,"660,000","1,100,000",Group,전남 여수시 화치동 70-1
133,E7J79Koj,2023-04-16,2023-06-18,조채수,조태현,Korean,영어,"105,000","299,298",Group,"대전 서구 청사로 189 (둔산동, 정부대전청사)"
134,WG77GPGJ,2023-04-17,2023-06-26,조채수,조태현,Korean,영어,"105,000","299,298",Group,"대전 서구 청사로 189 (둔산동, 정부대전청사)"
135,OzNg3QrY,2022-03-24,2023-07-23,임후호,최도현,Korean,일본어,"138,000",0,기타,"서울 서초구 논현로 7 (양재동, 윤남빌딩)"
136,8ujFBPb8,2023-03-25,2023-06-05,황은우,정다인,F4,영어,"175,000","385,000",Group,서울 송파구 송파대로 570 (신천동)
137,RaLaF79b,2022-07-24,2023-07-23,장준민,최현우,F2/F5/F6,영어,"350,000","630,000",Group,경남 창원시 성산구 내동 456-3
138,rdMfeONO,2023-01-22,2023-04-13,장준민,최현우,F2/F5/F6,영어,"600,000","675,000",Group,경남 창녕군 영산면 서리 554
139,eij0O63l,2023-03-05,2023-07-23,장준민,장태양,F2/F5/F6,영어,"220,000","420,000",1:1 (임원),경남 창원시 성산구 성주동 30
140,bIWVt0tF,2023-03-19,2023-06-12,장준민,장태양,F2/F5/F6,영어,"480,000","744,000",Language lab,창원 성산구 적현로 124 (신촌동)
141,F31DsZgT,2023-02-05,2023-05-07,김호호,조유진,F2/F5/F6,영어,"550,000","913,000",Group,"전남 나주시 전력로 55 (빛가람동, 한국전력공사)"
142,T4pke76E,2023-02-04,2023-04-29,김호호,조유진,F2/F5/F6,영어,"600,000","996,000",Group,"전남 나주시 전력로 55 (빛가람동, 한국전력공사)"
143,M920lJlq,2023-02-27,2023-07-23,장우예,한승현,F2/F5/F6,영어,"360,000","510,000",Co-Active Learning,"충남 천안시 서북구 직산읍 4산단5길 77 (모시리, 세메스)"
144,JXOi0lsT,2023-04-01,2023-04-22,오성도,윤다혜,F4,영어,"270,000","560,000",Group,경기 부천시 장말로176번길 40 (상동)
145,c6CXqgCG,2023-04-15,2023-06-10,오성도,송우진,F4,영어,"120,000","180,000",Group,
146,MkmBTQOD,2023-03-24,2023-06-21,오성도,김민준,F4,영어,"200,000","395,000",1:1 (임원),"서울 용산구 한강대로 32 (한강로3가, 엘지유플러스)"
147,1e6zxZeg,2023-03-24,2023-06-22,오성도,김민준,F4,영어,"120,000","234,000",1:1 (임원),"서울 용산구 한강대로 32 (한강로3가, 엘지유플러스)"
148,sPmWxNCd,2023-02-21,2023-05-16,오성도,박지후,F4,영어,"280,000","560,000",Group,"서울 용산구 원효로 74 (원효로4가, 현대자동차원효로사옥)"
149,XnB08uAl,2023-03-02,2023-07-05,황예예,김서진,F2/F5/F6,영어,0,"5,000,000",1:1 (임원),"경기 이천시 부발읍 경충대로 2091 (아미리, 에스케이하이닉스)"
150,p86kcIpx,2022-08-20,2023-07-06,황예예,오재윤,F2/F5/F6,영어,"35,000","85,000",1:1 (임원),"경기 이천시 부발읍 경충대로 2091 (아미리, 에스케이하이닉스)"
151,WbadZobP,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
152,hlTLjXee,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
153,seemcQM4,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
154,3OD7FOEu,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
155,mirQyFwZ,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
156,N2kmaXSJ,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
157,sVqsIftg,2022-08-06,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
158,pUueuiAY,2022-08-08,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
159,wcwsu4CX,2022-08-06,2023-04-30,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
160,UDdYvBM2,2022-08-10,2023-07-05,황예예,오재윤,F2/F5/F6,영어,0,0,1:1 (임원),
161,wZLrBuT1,2023-02-21,2023-07-23,박원원,서예린,F2/F5/F6,영어,"400,000","608,000",Co-Active Learning,"경기 평택시 고덕면 삼성로 144 (여염리, 삼성전자(주) 평택캠퍼스)"
162,wXeS0kNX,2023-02-11,2023-07-23,최현현,서지훈,F4,영어,"245,000","595,000",1:1 (임원),"서울 강동구 상일로6길 26 (상일동, 글로벌엔지니어링센터)"
163,Lvu3m2T6,2023-02-18,2023-07-23,윤윤민,장은서,F2/F5/F6,영어,"230,000","480,000",Co-Active Learning,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
164,igQCabRp,2022-09-14,2023-07-23,유우채,이도윤,F2/F5/F6,영어,"350,000","532,000",Co-Active Learning,경기 화성시 삼성전자로 1-1 (반월동)
165,ohgmpGx3,2023-02-04,2023-04-19,유우채,한승현,F2/F5/F6,영어,"815,500","1,540,000",Language lab,"경기 화성시 동탄반석로 160 (반송동, 동탄 지웰 에스테이트)"
166,JokY7MIR,2023-03-19,2023-04-19,최현민,최은우,Korean,영어,"600,000","996,000",Group,제주지역본부 4층 회의실
167,fn0LbM9o,2023-02-21,2023-05-23,황은아,김민준,F2/F5/F6,영어,"50,000","79,000",1:1 (임원),"서울 용산구 한강대로 32 (한강로3가, 엘지유플러스)"
168,Ud5SZRq6,2023-04-17,2023-04-17,황은아,문지후,F2/F5/F6,영어,"225,000","450,000",interview,"서울 강남구 테헤란로 410 (대치동, 금강타워)"
169,YSIAL0n9,2022-09-04,2023-07-23,황은아,문다온,F2/F5/F6,영어,"200,000","400,000",1:1 (임원),"서울 강남구 테헤란로 301 (역삼동, 삼정빌딩)"
170,iYTxxmR2,2023-03-26,2023-04-18,최호채,윤하준,F2/F5/F6,영어,"329,000","630,000",Language lab,"서울 종로구 새문안로3길 30 (내수동, 대우빌딩)"
